date,meantempm,maxtempm,mintempm,meantempm_1,meantempm_2,meantempm_3,meandewptm_1,meandewptm_2,meandewptm_3,meanpressurem_1,meanpressurem_2,meanpressurem_3,maxhumidity_1,maxhumidity_2,maxhumidity_3,minhumidity_1,minhumidity_2,minhumidity_3,maxtempm_1,maxtempm_2,maxtempm_3,mintempm_1,mintempm_2,mintempm_3,maxdewptm_1,maxdewptm_2,maxdewptm_3,mindewptm_1,mindewptm_2,mindewptm_3,maxpressurem_1,maxpressurem_2,maxpressurem_3,minpressurem_1,minpressurem_2,minpressurem_3,precipm_1,precipm_2,precipm_3
2015-01-21,2,8,-5,4.0,5.0,4.0,-3.0,-3.0,-4.0,1018.0,1015.0,1015.0,78.0,84.0,85.0,38.0,33.0,25.0,11.0,16.0,14.0,-3.0,-6.0,-6.0,-2.0,1.0,-2.0,-5.0,-6.0,-7.0,1020.0,1017.0,1017.0,1016.0,1013.0,1012.0,0.0,0.0,0.0
2015-01-22,-1,4,-6,2.0,4.0,5.0,-3.0,-3.0,-3.0,1025.0,1018.0,1015.0,85.0,78.0,84.0,45.0,38.0,33.0,8.0,11.0,16.0,-5.0,-3.0,-6.0,-2.0,-2.0,1.0,-5.0,-5.0,-6.0,1030.0,1020.0,1017.0,1021.0,1016.0,1013.0,0.0,0.0,0.0
2015-01-23,1,9,-8,-1.0,2.0,4.0,-5.0,-3.0,-3.0,1031.0,1025.0,1018.0,85.0,85.0,78.0,59.0,45.0,38.0,4.0,8.0,11.0,-6.0,-5.0,-3.0,-3.0,-2.0,-2.0,-8.0,-5.0,-5.0,1034.0,1030.0,1020.0,1028.0,1021.0,1016.0,0.0,0.0,0.0
2015-01-24,6,14,-3,1.0,-1.0,2.0,-6.0,-5.0,-3.0,1020.0,1031.0,1025.0,84.0,85.0,85.0,34.0,59.0,45.0,9.0,4.0,8.0,-8.0,-6.0,-5.0,-2.0,-3.0,-2.0,-9.0,-8.0,-5.0,1027.0,1034.0,1030.0,1015.0,1028.0,1021.0,0.0,0.0,0.0
2015-01-25,3,8,-1,6.0,1.0,-1.0,-1.0,-6.0,-5.0,1010.0,1020.0,1031.0,85.0,84.0,85.0,35.0,34.0,59.0,14.0,9.0,4.0,-3.0,-8.0,-6.0,5.0,-2.0,-3.0,-4.0,-9.0,-8.0,1017.0,1027.0,1034.0,1005.0,1015.0,1028.0,0.76,0.0,0.0
2015-01-26,7,17,-2,3.0,6.0,1.0,-1.0,-1.0,-6.0,1014.0,1010.0,1020.0,85.0,85.0,84.0,70.0,35.0,34.0,8.0,14.0,9.0,-1.0,-3.0,-8.0,3.0,5.0,-2.0,-3.0,-4.0,-9.0,1020.0,1017.0,1027.0,1005.0,1005.0,1015.0,0.0,0.76,0.0
2015-01-27,4,15,-6,7.0,3.0,6.0,-1.0,-1.0,-1.0,1016.0,1014.0,1010.0,92.0,85.0,85.0,32.0,70.0,35.0,17.0,8.0,14.0,-2.0,-1.0,-3.0,2.0,3.0,5.0,-4.0,-3.0,-4.0,1019.0,1020.0,1017.0,1014.0,1005.0,1005.0,0.0,0.0,0.76
2015-01-28,9,18,-1,4.0,7.0,3.0,-2.0,-1.0,-1.0,1019.0,1016.0,1014.0,92.0,92.0,85.0,36.0,32.0,70.0,15.0,17.0,8.0,-6.0,-2.0,-1.0,1.0,2.0,3.0,-8.0,-4.0,-3.0,1022.0,1019.0,1020.0,1015.0,1014.0,1005.0,0.0,0.0,0.0
2015-01-29,-1,6,-7,9.0,4.0,7.0,0.0,-2.0,-1.0,1010.0,1019.0,1016.0,85.0,92.0,92.0,36.0,36.0,32.0,18.0,15.0,17.0,-1.0,-6.0,-2.0,2.0,1.0,2.0,-3.0,-8.0,-4.0,1016.0,1022.0,1019.0,1005.0,1015.0,1014.0,0.0,0.0,0.0
2015-01-30,-3,6,-12,-1.0,9.0,4.0,-3.0,0.0,-2.0,1029.0,1010.0,1019.0,81.0,85.0,92.0,53.0,36.0,36.0,6.0,18.0,15.0,-7.0,-1.0,-6.0,0.0,2.0,1.0,-8.0,-3.0,-8.0,1036.0,1016.0,1022.0,1019.0,1005.0,1015.0,0.0,0.0,0.0
2015-01-31,2,4,0,-3.0,-1.0,9.0,-6.0,-3.0,0.0,1032.0,1029.0,1010.0,92.0,81.0,85.0,51.0,53.0,36.0,6.0,6.0,18.0,-12.0,-7.0,-1.0,-3.0,0.0,2.0,-13.0,-8.0,-3.0,1036.0,1036.0,1016.0,1026.0,1019.0,1005.0,0.0,0.0,0.0
2015-02-01,-8,0,-16,2.0,-3.0,-1.0,0.0,-6.0,-3.0,1018.0,1032.0,1029.0,96.0,92.0,81.0,64.0,51.0,53.0,4.0,6.0,6.0,0.0,-12.0,-7.0,1.0,-3.0,0.0,-2.0,-13.0,-8.0,1025.0,1036.0,1036.0,1011.0,1026.0,1019.0,20.83,0.0,0.0
2015-02-02,-14,-7,-22,-8.0,2.0,-3.0,-10.0,0.0,-6.0,1018.0,1018.0,1032.0,92.0,96.0,92.0,73.0,64.0,51.0,0.0,4.0,6.0,-16.0,0.0,-12.0,-1.0,1.0,-3.0,-19.0,-2.0,-13.0,1031.0,1025.0,1036.0,1009.0,1011.0,1026.0,10.16,20.83,0.0
2015-02-03,-5,3,-14,-14.0,-8.0,2.0,-17.0,-10.0,0.0,1026.0,1018.0,1018.0,92.0,92.0,96.0,73.0,73.0,64.0,-7.0,0.0,4.0,-22.0,-16.0,0.0,-11.0,-1.0,1.0,-24.0,-19.0,-2.0,1031.0,1031.0,1025.0,1019.0,1009.0,1011.0,0.0,10.16,20.83
2015-02-04,-14,-4,-25,-5.0,-14.0,-8.0,-8.0,-17.0,-10.0,1018.0,1026.0,1018.0,92.0,92.0,92.0,74.0,73.0,73.0,3.0,-7.0,0.0,-14.0,-22.0,-16.0,-1.0,-11.0,-1.0,-16.0,-24.0,-19.0,1022.0,1031.0,1031.0,1013.0,1019.0,1009.0,0.0,0.0,10.16
2015-02-05,-15,-3,-27,-14.0,-5.0,-14.0,-13.0,-8.0,-17.0,1029.0,1018.0,1026.0,91.0,92.0,92.0,61.0,74.0,73.0,-4.0,3.0,-7.0,-25.0,-14.0,-22.0,-8.0,-1.0,-11.0,-25.0,-16.0,-24.0,1037.0,1022.0,1031.0,1021.0,1013.0,1019.0,13.21,0.0,0.0
2015-02-06,1,6,-6,-15.0,-14.0,-5.0,-17.0,-13.0,-8.0,1029.0,1029.0,1018.0,86.0,91.0,92.0,55.0,61.0,74.0,-3.0,-4.0,3.0,-27.0,-25.0,-14.0,-9.0,-8.0,-1.0,-28.0,-25.0,-16.0,1037.0,1037.0,1022.0,1021.0,1021.0,1013.0,0.0,13.21,0.0
2015-02-07,4,12,-4,1.0,-15.0,-14.0,-3.0,-17.0,-13.0,1015.0,1029.0,1029.0,100.0,86.0,91.0,62.0,55.0,61.0,6.0,-3.0,-4.0,-6.0,-27.0,-25.0,0.0,-9.0,-8.0,-8.0,-28.0,-25.0,1020.0,1037.0,1037.0,1011.0,1021.0,1021.0,0.0,0.0,13.21
2015-02-08,8,14,2,4.0,1.0,-15.0,-1.0,-3.0,-17.0,1006.0,1015.0,1029.0,92.0,100.0,86.0,54.0,62.0,55.0,12.0,6.0,-3.0,-4.0,-6.0,-27.0,2.0,0.0,-9.0,-5.0,-8.0,-28.0,1010.0,1020.0,1037.0,1002.0,1011.0,1021.0,0.0,0.0,0.0
2015-02-09,2,3,0,8.0,4.0,1.0,2.0,-1.0,-3.0,1013.0,1006.0,1015.0,92.0,92.0,100.0,51.0,54.0,62.0,14.0,12.0,6.0,2.0,-4.0,-6.0,5.0,2.0,0.0,-1.0,-5.0,-8.0,1022.0,1010.0,1020.0,1003.0,1002.0,1011.0,0.0,0.0,0.0
2015-02-10,2,5,-2,2.0,8.0,4.0,0.0,2.0,-1.0,1023.0,1013.0,1006.0,100.0,92.0,92.0,85.0,51.0,54.0,3.0,14.0,12.0,0.0,2.0,-4.0,2.0,5.0,2.0,-1.0,-1.0,-5.0,1026.0,1022.0,1010.0,1021.0,1003.0,1002.0,0.0,0.0,0.0
2015-02-11,-1,4,-6,2.0,2.0,8.0,0.0,0.0,2.0,1018.0,1023.0,1013.0,100.0,100.0,92.0,79.0,85.0,51.0,5.0,3.0,14.0,-2.0,0.0,2.0,2.0,2.0,5.0,-2.0,-1.0,-1.0,1021.0,1026.0,1022.0,1014.0,1021.0,1003.0,0.0,0.0,0.0
2015-02-12,-9,-5,-14,-1.0,2.0,2.0,-7.0,0.0,0.0,1029.0,1018.0,1023.0,92.0,100.0,100.0,47.0,79.0,85.0,4.0,5.0,3.0,-6.0,-2.0,0.0,2.0,2.0,2.0,-11.0,-2.0,-1.0,1035.0,1021.0,1026.0,1021.0,1014.0,1021.0,0.0,0.0,0.0
2015-02-13,2,12,-9,-9.0,-1.0,2.0,-16.0,-7.0,0.0,1035.0,1029.0,1018.0,69.0,92.0,100.0,51.0,47.0,79.0,-5.0,4.0,5.0,-14.0,-6.0,-2.0,-12.0,2.0,2.0,-18.0,-11.0,-2.0,1041.0,1035.0,1021.0,1027.0,1021.0,1014.0,0.0,0.0,0.0
2015-02-14,-3,3,-9,2.0,-9.0,-1.0,-6.0,-16.0,-7.0,1023.0,1035.0,1029.0,82.0,69.0,92.0,41.0,51.0,47.0,12.0,-5.0,4.0,-9.0,-14.0,-6.0,-1.0,-12.0,2.0,-12.0,-18.0,-11.0,1027.0,1041.0,1035.0,1020.0,1027.0,1021.0,0.0,0.0,0.0
2015-02-15,-9,-7,-11,-3.0,2.0,-9.0,-12.0,-6.0,-16.0,1028.0,1023.0,1035.0,85.0,82.0,69.0,35.0,41.0,51.0,3.0,12.0,-5.0,-9.0,-9.0,-14.0,-2.0,-1.0,-12.0,-18.0,-12.0,-18.0,1034.0,1027.0,1041.0,1020.0,1020.0,1027.0,0.0,0.0,0.0
2015-02-16,-2,3,-8,-9.0,-3.0,2.0,-17.0,-12.0,-6.0,1030.0,1028.0,1023.0,61.0,85.0,82.0,47.0,35.0,41.0,-7.0,3.0,12.0,-11.0,-9.0,-9.0,-16.0,-2.0,-1.0,-18.0,-18.0,-12.0,1033.0,1034.0,1027.0,1026.0,1020.0,1020.0,0.0,0.0,0.0
2015-02-17,-7,-2,-11,-2.0,-9.0,-3.0,-10.0,-17.0,-12.0,1022.0,1030.0,1028.0,78.0,61.0,85.0,48.0,47.0,35.0,3.0,-7.0,3.0,-8.0,-11.0,-9.0,-4.0,-16.0,-2.0,-16.0,-18.0,-18.0,1027.0,1033.0,1034.0,1019.0,1026.0,1020.0,0.0,0.0,0.0
2015-02-18,-12,-7,-17,-7.0,-2.0,-9.0,-11.0,-10.0,-17.0,1021.0,1022.0,1030.0,81.0,78.0,61.0,40.0,48.0,47.0,-2.0,3.0,-7.0,-11.0,-8.0,-11.0,-6.0,-4.0,-16.0,-17.0,-16.0,-18.0,1022.0,1027.0,1033.0,1019.0,1019.0,1026.0,0.51,0.0,0.0
2015-02-19,-11,-5,-18,-12.0,-7.0,-2.0,-19.0,-11.0,-10.0,1029.0,1021.0,1022.0,76.0,81.0,78.0,35.0,40.0,48.0,-7.0,-2.0,3.0,-17.0,-11.0,-8.0,-16.0,-6.0,-4.0,-21.0,-17.0,-16.0,1032.0,1022.0,1027.0,1021.0,1019.0,1019.0,0.0,0.51,0.0
2015-02-20,-3,6,-12,-11.0,-12.0,-7.0,-15.0,-19.0,-11.0,1027.0,1029.0,1021.0,79.0,76.0,81.0,46.0,35.0,40.0,-5.0,-7.0,-2.0,-18.0,-17.0,-11.0,-12.0,-16.0,-6.0,-21.0,-21.0,-17.0,1033.0,1032.0,1022.0,1021.0,1021.0,1019.0,0.25,0.0,0.51
2015-02-21,-2,4,-8,-3.0,-11.0,-12.0,-8.0,-15.0,-19.0,1014.0,1027.0,1029.0,83.0,79.0,76.0,48.0,46.0,35.0,6.0,-5.0,-7.0,-12.0,-18.0,-17.0,-3.0,-12.0,-16.0,-14.0,-21.0,-21.0,1020.0,1033.0,1032.0,1011.0,1021.0,1021.0,0.0,0.25,0.0
2015-02-22,-11,-6,-16,-2.0,-3.0,-11.0,-5.0,-8.0,-15.0,1020.0,1014.0,1027.0,92.0,83.0,79.0,57.0,48.0,46.0,4.0,6.0,-5.0,-8.0,-12.0,-18.0,-1.0,-3.0,-12.0,-16.0,-14.0,-21.0,1032.0,1020.0,1033.0,1013.0,1011.0,1021.0,0.0,0.0,0.25
2015-02-23,-12,-3,-21,-11.0,-2.0,-3.0,-19.0,-5.0,-8.0,1040.0,1020.0,1014.0,66.0,92.0,83.0,31.0,57.0,48.0,-6.0,4.0,6.0,-16.0,-8.0,-12.0,-16.0,-1.0,-3.0,-22.0,-16.0,-14.0,1046.0,1032.0,1020.0,1033.0,1013.0,1011.0,0.0,0.0,0.0
2015-02-24,1,10,-8,-12.0,-11.0,-2.0,-19.0,-19.0,-5.0,1037.0,1040.0,1020.0,82.0,66.0,92.0,26.0,31.0,57.0,-3.0,-6.0,4.0,-21.0,-16.0,-8.0,-13.0,-16.0,-1.0,-23.0,-22.0,-16.0,1046.0,1046.0,1032.0,1025.0,1033.0,1013.0,0.0,0.0,0.0
2015-02-25,-2,8,-12,1.0,-12.0,-11.0,-8.0,-19.0,-19.0,1016.0,1037.0,1040.0,75.0,82.0,66.0,33.0,26.0,31.0,10.0,-3.0,-6.0,-8.0,-21.0,-16.0,-5.0,-13.0,-16.0,-12.0,-23.0,-22.0,1024.0,1046.0,1046.0,1012.0,1025.0,1033.0,0.0,0.0,0.0
2015-02-26,-13,-9,-18,-2.0,1.0,-12.0,-6.0,-8.0,-19.0,1013.0,1016.0,1037.0,85.0,75.0,82.0,49.0,33.0,26.0,8.0,10.0,-3.0,-12.0,-8.0,-21.0,2.0,-5.0,-13.0,-16.0,-12.0,-23.0,1028.0,1024.0,1046.0,1007.0,1012.0,1025.0,1.27,0.0,0.0
2015-02-27,-13,-6,-21,-13.0,-2.0,1.0,-18.0,-6.0,-8.0,1034.0,1013.0,1016.0,83.0,85.0,75.0,51.0,49.0,33.0,-9.0,8.0,10.0,-18.0,-12.0,-8.0,-16.0,2.0,-5.0,-21.0,-16.0,-12.0,1039.0,1028.0,1024.0,1026.0,1007.0,1012.0,0.0,1.27,0.0
2015-02-28,-9,-4,-15,-13.0,-13.0,-2.0,-19.0,-18.0,-6.0,1037.0,1034.0,1013.0,86.0,83.0,85.0,39.0,51.0,49.0,-6.0,-9.0,8.0,-21.0,-18.0,-12.0,-17.0,-16.0,2.0,-24.0,-21.0,-16.0,1041.0,1039.0,1028.0,1035.0,1026.0,1007.0,0.0,0.0,1.27
2015-03-01,-1,6,-8,-9.0,-13.0,-13.0,-12.0,-19.0,-18.0,1031.0,1037.0,1034.0,84.0,86.0,83.0,63.0,39.0,51.0,-4.0,-6.0,-9.0,-15.0,-21.0,-18.0,-8.0,-17.0,-16.0,-18.0,-24.0,-21.0,1035.0,1041.0,1039.0,1027.0,1035.0,1026.0,0.76,0.0,0.0
2015-03-02,0,6,-7,-1.0,-9.0,-13.0,-9.0,-12.0,-19.0,1030.0,1031.0,1037.0,84.0,84.0,86.0,30.0,63.0,39.0,6.0,-4.0,-6.0,-8.0,-15.0,-21.0,-7.0,-8.0,-17.0,-11.0,-18.0,-24.0,1034.0,1035.0,1041.0,1027.0,1027.0,1035.0,0.0,0.76,0.0
2015-03-03,-2,3,-8,0.0,-1.0,-9.0,-8.0,-9.0,-12.0,1025.0,1030.0,1031.0,77.0,84.0,84.0,36.0,30.0,63.0,6.0,6.0,-4.0,-7.0,-8.0,-15.0,-6.0,-7.0,-8.0,-10.0,-11.0,-18.0,1034.0,1034.0,1035.0,1012.0,1027.0,1027.0,0.0,0.0,0.76
2015-03-04,-7,0,-14,-2.0,0.0,-1.0,-6.0,-8.0,-9.0,1011.0,1025.0,1030.0,100.0,77.0,84.0,32.0,36.0,30.0,3.0,6.0,6.0,-8.0,-7.0,-8.0,0.0,-6.0,-7.0,-15.0,-10.0,-11.0,1023.0,1034.0,1034.0,1004.0,1012.0,1027.0,0.0,0.0,0.0
2015-03-05,-8,2,-18,-7.0,-2.0,0.0,-13.0,-6.0,-8.0,1027.0,1011.0,1025.0,88.0,100.0,77.0,28.0,32.0,36.0,0.0,3.0,6.0,-14.0,-8.0,-7.0,-10.0,0.0,-6.0,-19.0,-15.0,-10.0,1034.0,1023.0,1034.0,1023.0,1004.0,1012.0,0.76,0.0,0.0
2015-03-06,5,18,-8,-8.0,-7.0,-2.0,-16.0,-13.0,-6.0,1033.0,1027.0,1011.0,83.0,88.0,100.0,29.0,28.0,32.0,2.0,0.0,3.0,-18.0,-14.0,-8.0,-11.0,-10.0,0.0,-22.0,-19.0,-15.0,1037.0,1034.0,1023.0,1027.0,1023.0,1004.0,0.0,0.76,0.0
2015-03-07,7,18,-4,5.0,-8.0,-7.0,-9.0,-16.0,-13.0,1023.0,1033.0,1027.0,73.0,83.0,88.0,14.0,29.0,28.0,18.0,2.0,0.0,-8.0,-18.0,-14.0,-7.0,-11.0,-10.0,-11.0,-22.0,-19.0,1026.0,1037.0,1034.0,1021.0,1027.0,1023.0,0.0,0.0,0.76
2015-03-08,6,15,-4,7.0,5.0,-8.0,-5.0,-9.0,-16.0,1023.0,1023.0,1033.0,74.0,73.0,83.0,21.0,14.0,29.0,18.0,18.0,2.0,-4.0,-8.0,-18.0,-2.0,-7.0,-11.0,-8.0,-11.0,-22.0,1025.0,1026.0,1037.0,1020.0,1021.0,1027.0,0.0,0.0,0.0
2015-03-09,5,17,-7,6.0,7.0,5.0,-2.0,-5.0,-9.0,1020.0,1023.0,1023.0,81.0,74.0,73.0,33.0,21.0,14.0,15.0,18.0,18.0,-4.0,-4.0,-8.0,0.0,-2.0,-7.0,-6.0,-8.0,-11.0,1022.0,1025.0,1026.0,1018.0,1020.0,1021.0,0.0,0.0,0.0
2015-03-10,11,23,-3,5.0,6.0,7.0,-5.0,-2.0,-5.0,1019.0,1020.0,1023.0,92.0,81.0,74.0,22.0,33.0,21.0,17.0,15.0,18.0,-7.0,-4.0,-4.0,1.0,0.0,-2.0,-7.0,-6.0,-8.0,1022.0,1022.0,1025.0,1015.0,1018.0,1020.0,0.0,0.0,0.0
2015-03-11,10,22,-3,11.0,5.0,6.0,-2.0,-5.0,-2.0,1015.0,1019.0,1020.0,85.0,92.0,81.0,17.0,22.0,33.0,23.0,17.0,15.0,-3.0,-7.0,-4.0,2.0,1.0,0.0,-6.0,-7.0,-6.0,1020.0,1022.0,1022.0,1014.0,1015.0,1018.0,0.0,0.0,0.0
2015-03-12,14,25,2,10.0,11.0,5.0,-1.0,-2.0,-5.0,1024.0,1015.0,1019.0,92.0,85.0,92.0,22.0,17.0,22.0,22.0,23.0,17.0,-3.0,-3.0,-7.0,2.0,2.0,1.0,-4.0,-6.0,-7.0,1027.0,1020.0,1022.0,1021.0,1014.0,1015.0,0.0,0.0,0.0
2015-03-13,12,24,-1,14.0,10.0,11.0,1.0,-1.0,-2.0,1022.0,1024.0,1015.0,76.0,92.0,85.0,23.0,22.0,17.0,25.0,22.0,23.0,2.0,-3.0,-3.0,4.0,2.0,2.0,-2.0,-4.0,-6.0,1025.0,1027.0,1020.0,1019.0,1021.0,1014.0,0.0,0.0,0.0
2015-03-14,11,21,1,12.0,14.0,10.0,0.0,1.0,-1.0,1021.0,1022.0,1024.0,76.0,76.0,92.0,21.0,23.0,22.0,24.0,25.0,22.0,-1.0,2.0,-3.0,2.0,4.0,2.0,-3.0,-2.0,-4.0,1024.0,1025.0,1027.0,1020.0,1019.0,1021.0,0.0,0.0,0.0
2015-03-15,15,27,2,11.0,12.0,14.0,-1.0,0.0,1.0,1025.0,1021.0,1022.0,89.0,76.0,76.0,19.0,21.0,23.0,21.0,24.0,25.0,1.0,-1.0,2.0,2.0,2.0,4.0,-4.0,-3.0,-2.0,1028.0,1024.0,1025.0,1023.0,1020.0,1019.0,0.0,0.0,0.0
2015-03-16,19,32,6,15.0,11.0,12.0,-4.0,-1.0,0.0,1020.0,1025.0,1021.0,59.0,89.0,76.0,10.0,19.0,21.0,27.0,21.0,24.0,2.0,1.0,-1.0,-2.0,2.0,2.0,-7.0,-4.0,-3.0,1024.0,1028.0,1024.0,1016.0,1023.0,1020.0,0.0,0.0,0.0
2015-03-17,6,11,0,19.0,15.0,11.0,0.0,-4.0,-1.0,1013.0,1020.0,1025.0,71.0,59.0,89.0,9.0,10.0,19.0,32.0,27.0,21.0,6.0,2.0,1.0,4.0,-2.0,2.0,-5.0,-7.0,-4.0,1023.0,1024.0,1028.0,1007.0,1016.0,1023.0,0.0,0.0,0.0
2015-03-18,5,12,-3,6.0,19.0,15.0,-9.0,0.0,-4.0,1030.0,1013.0,1020.0,76.0,71.0,59.0,14.0,9.0,10.0,11.0,32.0,27.0,0.0,6.0,2.0,2.0,4.0,-2.0,-15.0,-5.0,-7.0,1034.0,1023.0,1024.0,1024.0,1007.0,1016.0,0.0,0.0,0.0
